779395`AB`2024-04-10 00:00:00.000`0.0`1.0700000000000001`4`0`
779394`JRL`2024-04-08 00:00:00.000`0.0`0.27000000000000002`4`0`
779387`TJ`2024-04-15 00:00:00.000`0.0`2.4199999999999999`1`0`
779386`AB`2024-04-11 00:00:00.000`0.0`3.3500000000000001`0`0`
779386`AB`2024-04-12 00:00:00.000`0.0`2.7799999999999998`1`0`
779385`JRL`2024-04-08 00:00:00.000`0.0`0.12`1`0`
779377`JPK`2024-04-16 00:00:00.000`0.0`0.5`1`0`
779376`ITA`2024-04-12 00:00:00.000`0.0`1.8300000000000001`1`0`
779375`JRL`2024-04-09 00:00:00.000`0.0`0.13`1`0`
779370`EU`2024-04-17 00:00:00.000`0.0`0.40999999999999998`2`0`
779369`NJW`2024-04-16 00:00:00.000`0.0`0.5`2`0`
779368`MB`2024-04-16 00:00:00.000`0.0`1.0`1`0`
779367`ZN`2024-04-10 00:00:00.000`0.0`0.10000000000000001`1`0`
779359`DT`2024-04-17 00:00:00.000`0.0`0.16`1`0`
779358`EU`2024-04-16 00:00:00.000`0.0`1.3300000000000001`1`0`
779357`TJ`2024-04-15 00:00:00.000`0.0`2.0`1`0`
779356`CKR`2024-04-11 00:00:00.000`0.0`4.0`0`1`
779356`CKR`2024-04-12 00:00:00.000`0.0`1.0`1`0`
779355`JRL`2024-04-02 00:00:00.000`0.0`0.10000000000000001`1`0`
779355`JRL`2024-04-11 00:00:00.000`0.0`0.10000000000000001`1`0`
779332`JZ`2024-04-15 00:00:00.000`0.0`0.10000000000000001`9`0`
779331`JPK`2024-04-11 00:00:00.000`0.0`5.0800000000000001`0`0`
779331`JPK`2024-04-12 00:00:00.000`0.0`3.0`0`0`
779331`JPK`2024-04-15 00:00:00.000`0.0`1.0`9`0`
779330`JRL`2024-04-08 00:00:00.000`0.0`0.45000000000000001`9`0`
779304`AH`2024-04-16 00:00:00.000`0.0`3.9500000000000002`71`0`
779303`GV`2024-04-11 00:00:00.000`0.0`0.0`0`0`
779303`GV`2024-04-15 00:00:00.000`0.0`5.5`70`0`
779303`GV`2024-04-10 00:00:00.000`0.0`6.9699999999999998`0`0`
779302`JRL`2024-04-08 00:00:00.000`0.0`0.57999999999999996`70`0`
779296`CA`2024-04-17 00:00:00.000`0.0`0.0`0`0`
779296`CA`2024-04-16 00:00:00.000`0.0`8.5700000000000003`0`0`
779295`CF`2024-04-11 00:00:00.000`0.0`2.98`1`0`
779294`JZ`2024-04-10 00:00:00.000`0.0`0.13`1`0`
779293`EU`2024-04-10 00:00:00.000`0.0`4.5`1`0`
779292`CHK`2024-04-08 00:00:00.000`0.0`3.5`1`0`
779291`AMH`2024-04-03 00:00:00.000`0.0`0.29999999999999999`1`0`
779283`EH`2024-04-16 00:00:00.000`0.0`7.0`2`0`
