LVL-7-KADEN`NULL`2021-09-15 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
LBR2024-03`NULL`2024-02-27 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
134045`GATES`2024-03-18 00:00:00.000`C.07143.422.30.00`Active`NULL`8MX-35S-21`1`0`0`1`6`0`0`1846075`1`NULL`NULL`1 ITEM  `NULL`NULL
133789`QUAD-SUSSE`2024-03-01 00:00:00.000`QG25845`Active`D`15T, 12 PITCH PRINTER GEAR`66`0`0`66`1`0`0`4757159`1`2024-03-19 00:00:00.000`2024-03-12 00:00:00.000`1 ITEM  Caleb H`2024-03-01 00:00:00.000`NULL
133786`KOHLER IND`2024-03-01 00:00:00.000`P38-5M-25 X 1.375" C'BORES`Active`-`ST.ST. W/ ST.ST. FLANGES,`10`0`0`10`2`0`0`7672`10`2024-03-28 00:00:00.000`2024-03-08 00:00:00.000`1 OF 5 ITEMS - JAMIE`2024-03-04 00:00:00.000`NULL
133784`KOHLER IND`2024-03-01 00:00:00.000`P50-5M-25 X .625"`Active`-`ST.ST. W/ ST.ST. FLANGES, HUB,`10`1`0`11`6`0`0`7672`1`2024-03-28 00:00:00.000`2024-03-08 00:00:00.000`1 OF 5 ITEMS - JAMIE`2024-03-04 00:00:00.000`NULL
133779`BW FLEX`2024-03-01 00:00:00.000`U-D0410-014N-01`Complete`B`SPLINED UNWIND SHAFT,`2`0`2`0`0`4`2`P000563`1`2024-03-19 00:00:00.000`2024-03-14 00:00:00.000`1 ITEM   Greg V`2024-03-04 00:00:00.000`NULL
133774`BW - HUNT`2024-02-29 00:00:00.000`267860`Active`NULL`37T, 6DP SPUR GEAR`1`0`0`1`3`0`0`P428189`5`2024-03-20 00:00:00.000`2024-03-01 00:00:00.000`5TH OF 7 ITEMS Greg V`2024-03-01 00:00:00.000`4656
133772`BW - HUNT`2024-02-29 00:00:00.000`266776`Active`NULL`96T, 6DP SPUR GEAR`1`0`0`1`1`0`0`P428189`3`2024-03-20 00:00:00.000`2024-03-06 00:00:00.000`3RD OF 7 ITEMS Greg V`2024-03-01 00:00:00.000`4654
133761`PCMC`2024-02-29 00:00:00.000`PO-04-0407RA`Active`NULL`35T, 10 DP SPUR GEAR`1`0`0`1`5`0`0`P731496`2`2024-03-27 00:00:00.000`2024-03-12 00:00:00.000`1 OF 5 ITEMS - THIS JOBS SHIPS LATER W/JOB # 133762 Caleb H`2024-03-04 00:00:00.000`NULL
133760`PCMC`2024-02-29 00:00:00.000`PO-4-0406RA`Complete`NULL`35T, 10DP, .75 BORE`1`0`0`1`0`1`1`P731496`1`2024-03-19 00:00:00.000`2024-03-04 00:00:00.000`1 OF 5 ITEMS - THIS JOBS SHIPS ALONE Caleb H`2024-03-01 00:00:00.000`NULL
133758`LINDQUIST`2024-02-29 00:00:00.000`3030298`Active`A`SS30H20 X 2012`1`0`0`1`1`0`0`103346`1`2024-03-20 00:00:00.000`2024-03-05 00:00:00.000`1 ITEM  BRENT`2024-02-29 00:00:00.000`NULL
133748`EMT INTERN`2024-02-28 00:00:00.000`0028357`Active`NULL`186T, 1/8 CP SPUR GEAR`6`0`0`6`3`0`0`214294`1`2024-03-26 00:00:00.000`2024-03-07 00:00:00.000`1 ITEM  BRENT`2024-02-29 00:00:00.000`NULL
